value, solution, nodesT, solution, sec
43, 53, 251234, true, 657
43, 57, 2534453, true, 7490
43, 55, 729921, true, 2205
41, 59, 13476726, true, 56275
42, 56, 881776, true, 2196
42, 56, 1409268, true, 3766
42, 52, 167580, true, 339
30, 52, 5093377, true, 17331
34, 50, 1073493, true, 2831
34, 46, 91011, true, 174
45, 59, 4966660, true, 15528
43, 57, 5153240, true, 16811
35, 45, 36519, true, 60
38, 46, 78941, true, 143
43, 59, 1757653, true, 4892
46, 62, 21841365, true, 84692
28, 42, 319267, true, 764
48, 66, 19052523, true, 71457
43, 55, 653954, true, 1541
38, 46, 49640, true, 87
36, 52, 691758, true, 1671
38, 54, 673569, true, 1668
45, 59, 4000616, true, 12122
33, 49, 971195, true, 2588
38, 54, 1701131, true, 4905
36, 52, 1769812, true, 4933
40, 58, 6007491, true, 19534
41, 53, 1186204, true, 3195
36, 52, 394619, true, 903
40, 54, 1559136, true, 4250
37, 47, 51417, true, 90
44, 50, 37524, true, 59
43, 59, 19485651, true, 75581
42, 60, 17850916, true, 68000
38, 52, 2612724, true, 7631
41, 55, 604695, true, 1443
40, 52, 321433, true, 712
40, 58, 2809561, true, 8247
35, 49, 707690, true, 1784
36, 54, 2008111, true, 5801
36, 54, 1913702, true, 5510
32, 42, 34098, true, 55
52, 64, 2469611, true, 6719
36, 50, 618833, true, 1484
39, 51, 158147, true, 321
39, 49, 141485, true, 268
35, 47, 210364, true, 458
41, 49, 26745, true, 42
37, 59, 11740671, true, 43391
39, 53, 1081568, true, 2834
44, 56, 1627800, true, 4484
42, 56, 1725114, true, 4681
50, 64, 10556203, true, 36375
40, 56, 2704032, true, 8057
33, 41, 30214, true, 51
33, 55, 8262762, true, 29973
38, 50, 492919, true, 1153
37, 51, 595306, true, 1469
37, 57, 6671193, true, 22611
48, -1, 29201631, false, 900000
33, 45, 140842, true, 315
43, 57, 1971745, true, 5513
40, 56, 12729672, true, 47245
33, 51, 1144445, true, 3064
35, 47, 340964, true, 765
45, 61, 24439957, true, 98223
32, 50, 2695031, true, 8303
35, 51, 891922, true, 2270
39, 53, 1979472, true, 5755
34, 52, 2499492, true, 7562
32, 44, 56735, true, 103
42, 56, 6895771, true, 23088
37, 49, 151615, true, 302
48, 56, 794914, true, 1919
34, 48, 592831, true, 1455
41, 57, 9687114, true, 34996
34, 54, 1473615, true, 4059
41, 53, 331872, true, 718
30, 42, 36955, true, 65
43, 57, 5482185, true, 17560
39, 53, 397067, true, 911
44, -1, 29129475, false, 900000
39, 49, 117606, true, 260
41, 55, 1438075, true, 3869
34, 44, 41179, true, 71
37, 45, 74649, true, 138
36, 52, 2768414, true, 8289
43, -1, 29087918, false, 900000
38, 54, 4047352, true, 12814
36, 50, 309723, true, 696
41, 57, 8197086, true, 28487
41, 57, 8627441, true, 29492
36, 46, 89270, true, 165
45, 53, 29478, true, 49
36, 50, 135217, true, 271
37, 49, 119558, true, 228
34, 44, 53902, true, 92
36, 54, 10984934, true, 41309
41, 57, 2117458, true, 5902
38, 54, 4902035, true, 16039
