value, solution, nodesT, solution, sec
43, 53, 561217, true, 1459
43, 57, 2675124, true, 8207
43, 55, 433757, true, 990
41, 59, 10716878, true, 39298
42, 56, 1369416, true, 3755
42, 56, 1025962, true, 2677
36, 52, 1604926, true, 4672
34, 52, 2534123, true, 7954
32, 50, 1110727, true, 3127
36, 46, 60131, true, 114
45, 59, 3878971, true, 12297
43, 57, 5705037, true, 19298
35, 45, 63884, true, 119
36, 46, 809193, true, 2134
43, 59, 10611297, true, 39371
44, 62, 9697906, true, 34591
28, 42, 435516, true, 1116
46, -1, 23475047, false, 900000
43, 55, 962795, true, 2490
38, 46, 91066, true, 175
36, 52, 1055877, true, 2862
38, 54, 2257689, true, 6886
43, 59, 15652069, true, 61970
35, 49, 211778, true, 472
38, 54, 1358509, true, 3861
36, 52, 2244616, true, 6742
40, 58, 5768575, true, 18916
39, 53, 776216, true, 1983
36, 52, 1276691, true, 3549
40, 54, 1891553, true, 5384
35, 47, 191834, true, 417
42, 50, 92334, true, 177
43, 59, 11414411, true, 41779
44, 60, 5951834, true, 19458
40, 52, 288929, true, 640
39, 55, 3320662, true, 10215
40, 52, 885518, true, 2398
42, 58, 3068311, true, 9244
35, 49, 589025, true, 1501
38, 54, 2805918, true, 8627
38, 54, 2520626, true, 7569
34, 42, 23096, true, 37
50, 64, 3039467, true, 8820
36, 50, 932537, true, 2486
39, 51, 589200, true, 1456
37, 49, 126622, true, 255
35, 47, 172035, true, 366
39, 49, 94014, true, 183
35, -1, 23179447, false, 900000
41, 53, 379171, true, 919
44, 56, 782781, true, 1951
40, 56, 13107058, true, 51221
52, 64, 8174401, true, 27070
42, 56, 3444111, true, 11058
31, 41, 32893, true, 56
29, 55, 20125242, true, 87956
38, 50, 74785, true, 140
37, 51, 491659, true, 1208
39, 57, 6528026, true, 22951
48, -1, 27882902, false, 900000
31, 45, 173408, true, 426
43, 57, 2144717, true, 6159
42, 56, 1657777, true, 4623
33, 51, 1151130, true, 3269
33, 47, 241698, true, 557
43, -1, 27827067, false, 900000
30, 50, 7503807, true, 28061
31, 51, 3115342, true, 10037
41, 53, 1023386, true, 2717
32, 52, 2899319, true, 9164
32, 44, 115221, true, 235
40, 56, 5426415, true, 18459
37, 49, 290794, true, 661
48, 56, 399557, true, 904
32, 48, 799295, true, 2148
41, 57, 10325426, true, 39152
34, 54, 1537279, true, 4377
43, 53, 460465, true, 1090
30, 42, 45496, true, 78
43, 57, 3928203, true, 12361
41, 53, 321558, true, 714
44, -1, 27983269, false, 900000
33, 49, 1420799, true, 4167
43, 55, 4307743, true, 13794
32, 44, 157521, true, 329
37, 45, 81156, true, 155
36, 52, 1290152, true, 3560
45, -1, 27919003, false, 900000
40, 54, 1752213, true, 5174
38, 50, 151474, true, 303
43, 57, 7122855, true, 24465
37, 57, 21420012, true, 90033
36, 46, 282758, true, 636
45, 53, 18539, true, 28
34, 50, 797414, true, 2117
35, 49, 250040, true, 553
34, 44, 42031, true, 71
36, 54, 6853917, true, 24841
39, 57, 2639824, true, 7994
38, 54, 3082606, true, 9760
