value, solution, nodesT, solution, sec
43, 53, 53, 1717234, 1364321, true, 345
43, 57, 57, 16819719, 7196758, true, 3352
43, 55, 55, 3521755, 112013, true, 695
41, 59, 59, 167328787, 30107822, true, 32959
42, 56, 56, 9962312, 7467238, true, 1974
42, 56, 56, 5533317, 221728, true, 1109
42, 52, 52, 2102839, 1795925, true, 413
30, 52, 52, 100240277, 76573295, true, 19376
34, 50, 50, 8995230, 6539232, true, 1779
34, 46, 46, 472192, 101059, true, 95
45, 59, 59, 26282913, 6527482, true, 5147
43, 57, 57, 62814094, 51283080, true, 12367
35, 45, 45, 163440, 133078, true, 33
38, 46, 46, 1362024, 1122413, true, 269
43, 59, 59, 34761530, 27856632, true, 6897
46, 62, 62, 194310857, 115388641, true, 38195
28, 42, 42, 2922006, 2140157, true, 567
48, 66, 66, 407120380, 331040254, true, 81766
43, 55, 55, 4888254, 4101285, true, 955
38, 46, 46, 134579, 55442, true, 27
36, 52, 52, 4300466, 2013902, true, 856
38, 54, 54, 5220612, 1904796, true, 1041
45, 59, 59, 71151977, 58737706, true, 14094
33, 49, 49, 3308659, 303899, true, 649
38, 54, 54, 12399086, 3594077, true, 2434
36, 52, 52, 8021625, 562495, true, 1572
40, 58, 58, 32226761, 11500087, true, 6439
41, 53, 53, 11714586, 4286606, true, 2230
36, 52, 52, 1457196, 297438, true, 283
40, 54, 54, 5757803, 1692954, true, 1119
37, 47, 47, 192996, 124709, true, 43
44, 50, 50, 121170, 85518, true, 26
43, 59, 59, 191171790, 139889512, true, 38135
42, 60, 60, 112988503, 43630791, true, 22270
38, 52, 52, 8095015, 3823801, true, 1596
41, 55, 55, 2566934, 1249643, true, 492
40, 52, 52, 2215725, 1798614, true, 441
40, 58, 58, 15440130, 2144682, true, 3064
35, 49, 49, 3562751, 1016055, true, 692
36, 54, 54, 14893543, 1133254, true, 2913
36, 54, 54, 15131343, 3484475, true, 2964
32, 42, 42, 170860, 137222, true, 35
52, 64, 64, 12928679, 4005182, true, 2486
36, 50, 50, 1831962, 1053917, true, 362
39, 51, 51, 776281, 600845, true, 160
39, 49, 49, 692040, 365191, true, 137
35, 47, 47, 508674, 180570, true, 105
41, 49, 49, 135135, 108255, true, 27
37, 59, 59, 268935694, 152348627, true, 51644
39, 53, 53, 9096374, 5807011, true, 1821
44, 56, 56, 15181948, 4538915, true, 2975
42, 56, 56, 29418198, 24597042, true, 5720
50, 64, 64, 85417273, 10644840, true, 16822
40, 56, 56, 24083383, 10433196, true, 4792
33, 41, 41, 60629, 34923, true, 12
33, 55, 55, 89076243, 13457705, true, 17433
38, 50, 50, 3420377, 2010382, true, 653
37, 51, 51, 1771008, 939392, true, 355
37, 57, 57, 90658456, 26112330, true, 17753
48, 66, 66, 439475500, 173513151, true, 85481
33, 45, 45, 568147, 339066, true, 114
43, 57, 57, 26703802, 22461711, true, 5188
40, 56, 56, 175013552, 128126692, true, 35061
33, 51, 51, 25549772, 18176320, true, 4874
35, 47, 47, 846435, 459212, true, 169
45, 61, 61, 277845867, 148622151, true, 53204
32, 50, 50, 31436860, 16758734, true, 6109
35, 51, 51, 5907149, 1601844, true, 1158
39, 53, 53, 28481402, 19888021, true, 5475
34, 52, 52, 24167483, 4273764, true, 4729
32, 44, 44, 235118, 90761, true, 46
42, 56, 56, 80505304, 38584280, true, 15474
37, 49, 49, 776805, 563353, true, 151
48, 56, 56, 1013635, 471685, true, 201
34, 48, 48, 5207971, 1138731, true, 1017
41, 57, 57, 22201629, 2694584, true, 4328
34, 54, 54, 6711186, 2042168, true, 1327
41, 53, 53, 2311565, 1667876, true, 453
30, 42, 42, 123540, 87764, true, 25
43, 57, 57, 11808127, 1742533, true, 2244
39, 53, 53, 2504343, 2056526, true, 493
44, 62, 62, 451182087, 145769986, true, 86610
39, 49, 49, 1279109, 996010, true, 252
41, 55, 55, 9910766, 4606870, true, 1913
34, 44, 44, 330972, 169932, true, 66
37, 45, 45, 312871, 185404, true, 63
36, 52, 52, 9490562, 1253287, true, 1824
43, 65, 65, 1672875063, 177565292, true, 325604
38, 54, 54, 30090497, 16849596, true, 5836
36, 50, 50, 2146595, 988876, true, 423
41, 57, 57, 84259171, 62888761, true, 16472
41, 57, 57, 53581035, 12997560, true, 10354
36, 46, 46, 95767, 13107, true, 19
45, 53, 53, 115283, 43717, true, 24
36, 50, 50, 710618, 86250, true, 141
37, 49, 49, 506606, 273855, true, 104
34, 44, 44, 57269, 21921, true, 11
36, 54, 54, 179364122, 141872838, true, 34634
41, 57, 57, 13883588, 9365468, true, 2777
38, 54, 54, 57609469, 42113054, true, 11296
