value, solution, nodesT, solution, sec
43, 53, 251234, true, 1466
43, 57, 2534453, true, 17609
43, 55, 729921, true, 4600
41, 59, 13476726, true, 108941
42, 56, 881776, true, 5657
42, 56, 1409268, true, 9388
42, 52, 167580, true, 952
30, 52, 5093377, true, 39797
34, 50, 1073493, true, 7261
34, 46, 91011, true, 518
45, 59, 4966660, true, 35894
43, 57, 5153240, true, 39044
35, 45, 36519, true, 194
38, 46, 78941, true, 436
43, 59, 1757653, true, 11831
46, 62, 21841365, true, 178888
28, 42, 319267, true, 2170
48, 66, 19052523, true, 151461
43, 55, 653954, true, 4089
38, 46, 49640, true, 270
36, 52, 691758, true, 4436
38, 54, 673569, true, 4405
45, 59, 4000616, true, 28581
33, 49, 971195, true, 6634
38, 54, 1701131, true, 12026
36, 52, 1769812, true, 12272
40, 58, 6007491, true, 44795
41, 53, 1186204, true, 8091
36, 52, 394619, true, 2523
40, 54, 1559136, true, 10625
37, 47, 51417, true, 279
44, 50, 37524, true, 187
43, 59, 19485651, true, 159360
42, 60, 17850916, true, 145792
38, 52, 2612724, true, 18452
41, 55, 604695, true, 3822
40, 52, 321433, true, 1934
40, 58, 2809561, true, 19788
35, 49, 707690, true, 4720
36, 54, 2008111, true, 14084
36, 54, 1913702, true, 13361
32, 42, 34098, true, 181
52, 64, 2469611, true, 16188
36, 50, 618833, true, 3946
39, 51, 158147, true, 911
39, 49, 141485, true, 793
35, 47, 210364, true, 1316
41, 49, 26745, true, 137
37, 59, 11740671, true, 94531
39, 53, 1081568, true, 7200
44, 56, 1627800, true, 11031
42, 56, 1725114, true, 11582
50, 64, 10556203, true, 80258
40, 56, 2704032, true, 19346
33, 41, 30214, true, 163
33, 55, 8262762, true, 66480
38, 50, 492919, true, 3120
37, 51, 595306, true, 3891
37, 57, 6671193, true, 51463
48, -1, 28018289, false, 900000
33, 45, 140842, true, 837
43, 57, 1971745, true, 13900
40, 56, 12729672, true, 102727
33, 51, 1144445, true, 7849
35, 47, 340964, true, 2140
45, 61, 24439957, true, 203586
32, 50, 2695031, true, 19899
35, 51, 891922, true, 5895
39, 53, 1979472, true, 14087
34, 52, 2499492, true, 18239
32, 44, 56735, true, 310
42, 56, 6895771, true, 52691
37, 49, 151615, true, 863
48, 56, 794914, true, 5014
34, 48, 592831, true, 3882
41, 57, 9687114, true, 77051
34, 54, 1473615, true, 10115
41, 53, 331872, true, 2003
30, 42, 36955, true, 201
43, 57, 5482185, true, 40437
39, 53, 397067, true, 2470
44, -1, 28761277, false, 900000
39, 49, 117606, true, 674
41, 55, 1438075, true, 9462
34, 44, 41179, true, 223
37, 45, 74649, true, 405
36, 52, 2768414, true, 19706
43, -1, 28954954, false, 900000
38, 54, 4047352, true, 29894
36, 50, 309723, true, 1904
41, 57, 8197086, true, 63446
41, 57, 8627441, true, 65959
36, 46, 89270, true, 504
45, 53, 29478, true, 148
36, 50, 135217, true, 784
37, 49, 119558, true, 667
34, 44, 53902, true, 291
36, 54, 10984934, true, 90130
41, 57, 2117458, true, 14312
38, 54, 4902035, true, 36932
