Profundidad,Nodos,Branching factor
0,144,12.0
1,1224,8.5
2,9408,7.686274509803922
3,68700,7.302295918367347
4,479880,6.985152838427948
5,3106716,6.473943485871468
6,17849952,5.745601464697771
