value, solution, nodesT, solution, sec
8, 15, 5086413, true, 479962
8, 13, 273890, true, 2675
7, 13, 129595, true, 1300
7, 11, 14621, true, 129
7, 14, 840555, true, 8799
8, 13, 90975, true, 882
7, 12, 62546, true, 575
8, 11, 4936, true, 42
8, 12, 56438, true, 514
8, 9, 292, true, 2
