value, valueF, solution, nodesT, nodesF, solution, sec
7, 10, 10, 18818, 12847, true, 5
7, 8, 8, 202, 139, true, 0
6, 9, 9, 4879, 3324, true, 1
7, 10, 10, 43830, 36289, true, 13
6, 10, 10, 8415, 2067, true, 2
7, 8, 8, 362, 265, true, 0
8, 10, 10, 18140, 15122, true, 5
7, 10, 10, 8994, 7755, true, 2
8, 10, 10, 27687, 24281, true, 10
6, 10, 10, 50185, 33936, true, 14
