value, valueF, solution, nodesT, nodesF, solution, sec
5, 10, 10, 262647, 140386, true, 97
6, 12, 12, 7086178, 1349294, true, 1999
5, 12, 12, 12072630, 5361205, true, 3384
5, 11, 11, 4933708, 4293527, true, 1393
5, 12, 12, 26044375, 18215410, true, 7040
5, 10, 10, 312097, 167124, true, 82
4, 10, 10, 526166, 233228, true, 131
6, 10, 10, 1110576, 944820, true, 284
6, 12, 12, 17553290, 11339049, true, 4874
6, 12, 12, 15339684, 7229790, true, 4069
