value, solution, nodesT, solution, sec
5, 10, 39107, true, 286
6, 12, 567823, true, 4532
5, 12, 642175, true, 5545
5, 11, 405580, true, 3490
5, 12, 709604, true, 6007
5, 10, 41090, true, 426
4, 10, 65647, true, 451
6, 10, 55668, true, 368
6, 12, 1943037, true, 16730
6, 12, 770058, true, 7297
