Profundidad,Nodos,Branching factor
0,3,3.0
1,15,5.0
2,75,5.0
3,393,5.24
4,2109,5.366412213740458
5,11487,5.446657183499289
6,63375,5.517106294071559
7,352755,5.5661538461538465
8,1978341,5.60825785601905
9,11161197,5.64169523858627
