value, solution, nodesT, solution, sec
8, 10, 286, true, 1
9, 12, 7977, true, 53
8, 12, 13988, true, 97
8, 11, 1869, true, 12
9, 12, 15659, true, 104
7, 10, 991, true, 6
6, 10, 837, true, 5
7, 10, 548, true, 3
8, 12, 22029, true, 151
7, 12, 6256, true, 42
