value, valueF, solution, nodesT, nodesF, solution, sec
8, 13, 13, 36748846, 33713848, true, 74210
8, 10, 10, 10611, 8736, true, 21
8, 12, 12, 294879, 130434, true, 590
8, 13, 13, 9210224, 6704894, true, 18172
7, 13, 13, 9379404, 6842190, true, 17122
8, 12, 12, 946065, 786519, true, 1842
7, 12, 12, 2343768, 2067189, true, 4561
7, 11, 11, 479522, 427604, true, 927
7, 11, 11, 103309, 80593, true, 204
8, 14, 14, 84232353, 52194045, true, 161851
