Profundidad,Nodos,Branching factor
0,2,2.0
1,4,2.0
2,10,2.5
3,26,2.6
4,64,2.4615384615384617
5,159,2.484375
6,366,2.30188679245283
7,862,2.3551912568306013
8,1904,2.2088167053364267
9,4538,2.383403361344538
10,10238,2.2560599382988102
11,24098,2.3537800351631177
12,53186,2.2070711262345424
13,123435,2.3208175083668636
14,268416,2.1745534086766316
15,616374,2.296338519313305
16,1326882,2.152722210865481
17,3021126,2.276861092395556
18,6438828,2.1312676134659725
19,14524718,2.25580152164338
