Profundidad,Nodos,Branching factor
0,2,2.0
1,6,3.0
2,18,3.0
3,58,3.2222222222222223
4,186,3.206896551724138
5,602,3.236559139784946
6,1946,3.2325581395348837
7,6298,3.2363823227132578
8,20378,3.2356303588440776
9,65946,3.2361370105015212
10,213402,3.2360112819579654
11,690586,3.2360802616657764
12,2234778,3.2360603892925717
13,7231898,3.23606998100035
14,23402906,3.236066935678573
15,75733402,3.23606828998074
