Profundidad,Nodos,Branching factor
0,2,2.0
1,6,3.0
2,18,3.0
3,60,3.3333333333333335
4,198,3.3
5,684,3.4545454545454546
6,2322,3.3947368421052633
7,8100,3.488372093023256
8,27702,3.42
9,96876,3.497076023391813
10,331938,3.4264214046822743
11,1161540,3.499267935578331
12,3981798,3.4280334728033472
13,13935564,3.4998169168802638
14,47777202,3.428436911487759
