value, valueF, solution, nodesT, nodesF, solution, sec
43, 53, 53, 1546167, 1262054, true, 1239
43, 57, 57, 9232018, 4464483, true, 7049
43, 55, 55, 1384382, 124181, true, 1058
41, 59, 59, 65466846, 15649491, true, 44665
42, 56, 56, 15388869, 11378608, true, 9799
44, 56, 56, 1712159, 107782, true, 1122
42, 52, 52, 1719491, 1468294, true, 1097
36, 52, 52, 8020165, 6328300, true, 5046
34, 50, 50, 8136037, 5649966, true, 5462
34, 46, 46, 345172, 41188, true, 236
45, 59, 59, 60999268, 11753433, true, 40980
45, 57, 57, 29015574, 24088343, true, 19323
35, 45, 45, 84186, 67004, true, 58
38, 46, 46, 205569, 182475, true, 133
43, 59, 59, 40031568, 31522219, true, 27223
44, 62, 62, 138459183, 73436676, true, 95062
28, 42, 42, 3888236, 2901240, true, 2450
48, 66, 66, 133444023, 106347544, true, 88942
43, 55, 55, 8066627, 6764857, true, 5270
38, 46, 46, 270034, 123755, true, 184
36, 52, 52, 8317901, 4482883, true, 5600
38, 54, 54, 7610122, 2718711, true, 4944
45, 59, 59, 59585714, 48943769, true, 37752
33, 49, 49, 2908586, 393410, true, 1863
34, 54, 54, 12887594, 3570325, true, 7999
38, 52, 52, 2001786, 98415, true, 1248
42, 58, 58, 34802113, 8529192, true, 21762
37, 53, 53, 93580227, 28090218, true, 58606
42, 52, 52, 522796, 132584, true, 337
42, 54, 54, 1062206, 308638, true, 667
39, 47, 47, 120513, 68309, true, 79
40, 50, 50, 717189, 473023, true, 467
45, 59, 59, 99331781, 75451684, true, 63003
44, 60, 60, 15018113, 5457754, true, 9725
40, 52, 52, 1153417, 547131, true, 751
39, 55, 55, 8795098, 4001651, true, 5477
38, 52, 52, 5768742, 4592916, true, 3656
42, 58, 58, 29268529, 3404551, true, 18462
37, 49, 49, 3277486, 982396, true, 2004
36, 54, 54, 12459568, 480999, true, 7926
36, 54, 54, 27531428, 6293332, true, 17173
32, 42, 42, 50453, 40211, true, 34
48, 64, 64, 15094283, 4805313, true, 9716
34, 50, 50, 4551536, 2228372, true, 2875
39, 51, 51, 1150173, 887748, true, 717
39, 49, 49, 2126978, 1162723, true, 1335
39, 47, 47, 60048, 23468, true, 40
39, 49, 49, 252504, 190023, true, 160
41, 59, 59, 35374193, 18444490, true, 22777
39, 53, 53, 4904969, 3100817, true, 3128
46, 56, 56, 1443193, 426718, true, 916
40, 56, 56, 52965360, 43524791, true, 33277
50, 64, 64, 143795288, 15192784, true, 90920
40, 56, 56, 36409607, 14249800, true, 23100
29, 41, 41, 241877, 143953, true, 153
37, 55, 55, 22835187, 3673400, true, 14350
38, 50, 50, 588904, 363672, true, 374
41, 51, 51, 332536, 179875, true, 212
37, 57, 57, 84501988, 27265149, true, 53208
48, 66, 66, 128598571, 63617355, true, 81974
35, 45, 45, 481867, 331603, true, 311
45, 57, 57, 21184077, 17775685, true, 13364
40, 56, 56, 315073662, 221515465, true, 197546
35, 51, 51, 26126677, 18214666, true, 16107
35, 47, 47, 239821, 127394, true, 155
45, 61, 61, 160294737, 91406909, true, 102424
34, 50, 50, 7293624, 4078468, true, 4517
37, 51, 51, 2127250, 598191, true, 1353
39, 53, 53, 15217880, 11276679, true, 9502
32, 52, 52, 13408194, 1148938, true, 8437
32, 44, 44, 400006, 126255, true, 256
40, 56, 56, 81437313, 38891600, true, 50632
39, 49, 49, 276623, 203250, true, 175
48, 56, 56, 464365, 233377, true, 295
34, 48, 48, 7327517, 1463498, true, 4572
43, 57, 57, 21963250, 2051252, true, 13547
36, 54, 54, 2563458, 835451, true, 1611
41, 53, 53, 3912461, 2764626, true, 2416
30, 42, 42, 116636, 84571, true, 76
43, 57, 57, 6582995, 1932301, true, 4137
41, 53, 53, 2103315, 1716822, true, 1345
42, 62, 62, 416218346, 155889902, true, 264978
33, 49, 49, 10842906, 8227445, true, 6890
39, 55, 55, 33059544, 18668831, true, 20858
32, 44, 44, 270864, 152976, true, 174
35, 45, 45, 502182, 283861, true, 316
34, 52, 52, 23154656, 4910296, true, 14993
43, 65, 65, 970978402, 118678377, true, 608254
38, 54, 54, 15073053, 9111580, true, 9425
38, 50, 50, 901700, 374556, true, 561
45, 57, 57, 45587048, 35268723, true, 27812
41, 57, 57, 11052751, 2846818, true, 6996
34, 46, 46, 458020, 77240, true, 288
45, 53, 53, 119834, 48477, true, 79
38, 50, 50, 565013, 122895, true, 358
37, 49, 49, 977175, 551026, true, 615
34, 44, 44, 153364, 81598, true, 97
34, 54, 54, 106185059, 83539966, true, 66084
41, 57, 57, 5277661, 3471203, true, 3306
40, 54, 54, 14026234, 10133343, true, 8991
