value, valueF, solution, nodesT, nodesF, solution, sec
6, 10, 10, 895679, 739985, true, 266
5, 10, 10, 854141, 611087, true, 244
4, 8, 8, 9493, 4491, true, 3
5, 10, 10, 287230, 159400, true, 79
5, 10, 10, 741276, 645616, true, 210
5, 10, 10, 671839, 511070, true, 176
5, 10, 10, 670989, 554834, true, 188
4, 6, 6, 308, 173, true, 0
4, 8, 8, 6702, 3621, true, 1
6, 8, 8, 7718, 6360, true, 2
